"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
" ","Søge helbredsmæssig information",65,72,69,64,65,63,61,64,..,51,..
" ","Internetbank",94,95,94,89,88,91,85,84,81,79,75
" ","Salg af varer/tjenester",33,34,36,25,28,28,34,35,24,23,24
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,35,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,7,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,46,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,89,90,87,89,88,82,87,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",34,38,41,45,43,52,51,50,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,63,68,74,72,71,69,68,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",20,18,..,20,..,23,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",11,11,..,14,..,12,..,..,..,..,..
" ","Brugt sociale netværkstjenester",83,84,85,80,75,75,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,27,..,..,..,..,..
" ","Taget online kursus",13,20,15,12,..,9,..,..,..,..,..
" ","Brugt e-learning materiale",31,29,36,..,..,12,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",19,..,23,12,..,12,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",49,..,60,49,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",74,..,75,68,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",85,87,88,75,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",68,70,68,54,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,40,24,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",18,..,18,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",10,..,11,..,..,7,..,..,..,..,..
" ","Lytter til podcast uanset emne",39,..,37,..,..,..,..,..,..,..,..
"Indkomst: 0-49.999 kr."
" ","Sende/modtage e-mail",94,97,95,96,94,94,95,..,92,89,94
" ","Søge infomation om varer mv.",92,80,87,84,90,78,87,77,86,83,88
" ","Services ifm. rejser mv",..,..,..,..,..,42,46,52,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,59,..
" ","Læse/downloade nyheder",84,77,88,81,..,87,65,65,70,67,79
" ","Jobsøgning",..,42,..,42,..,37,..,..,..,32,..
" ","Søge helbredsmæssig information",73,70,75,66,68,65,65,65,..,49,..
" ","Internetbank",92,91,90,86,78,80,81,81,77,74,74
" ","Salg af varer/tjenester",28,28,24,16,23,27,31,33,20,25,21
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,65,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,10,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,84,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,82,81,81,87,76,75,78,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",29,25,24,33,30,30,34,33,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,55,55,64,62,58,58,56,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",21,23,..,20,..,25,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,12,..,17,..,18,..,..,..,..,..
" ","Brugt sociale netværkstjenester",92,92,93,91,93,92,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,22,..,..,..,..,..
" ","Taget online kursus",12,24,20,9,..,10,..,..,..,..,..
" ","Brugt e-learning materiale",52,44,63,..,..,22,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",34,..,54,32,..,26,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",58,..,69,63,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",90,..,93,87,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",93,95,93,91,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",87,87,89,76,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,42,22,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",21,..,16,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",14,..,18,..,..,11,..,..,..,..,..
" ","Lytter til podcast uanset emne",51,..,54,..,..,..,..,..,..,..,..
"Indkomst: 50.000-99.999 kr."
" ","Sende/modtage e-mail",94,93,98,91,97,95,97,..,91,91,87
" ","Søge infomation om varer mv.",93,88,94,80,91,85,92,74,82,83,80
" ","Services ifm. rejser mv",..,..,..,..,..,52,65,61,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,59,..
" ","Læse/downloade nyheder",91,87,91,80,..,87,75,74,73,75,73
" ","Jobsøgning",..,47,..,54,..,40,..,..,..,37,..
" ","Søge helbredsmæssig information",73,77,78,70,72,70,75,71,..,61,..
" ","Internetbank",95,96,97,96,91,93,92,87,93,87,80
" ","Salg af varer/tjenester",32,35,26,24,23,24,32,39,30,27,23
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,62,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,9,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,75,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,92,95,90,92,91,91,87,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",25,26,27,32,30,43,47,47,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,67,82,69,79,76,75,74,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",28,21,..,19,..,24,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",19,17,..,19,..,15,..,..,..,..,..
" ","Brugt sociale netværkstjenester",93,94,95,90,89,90,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,29,..,..,..,..,..
" ","Taget online kursus",18,31,19,17,..,8,..,..,..,..,..
" ","Brugt e-learning materiale",56,35,56,..,..,17,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",40,..,44,23,..,30,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",63,..,72,63,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",89,..,94,87,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",93,94,96,87,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",88,89,90,65,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,39,19,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",30,..,20,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",11,..,6,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",21,..,22,..,..,12,..,..,..,..,..
" ","Lytter til podcast uanset emne",65,..,67,..,..,..,..,..,..,..,..
"Indkomst: 100.000-199.999 kr."
" ","Sende/modtage e-mail",88,91,93,89,88,90,87,..,79,75,68
" ","Søge infomation om varer mv.",81,81,86,78,77,67,75,67,71,69,64
" ","Services ifm. rejser mv",..,..,..,..,..,47,53,57,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,38,..
" ","Læse/downloade nyheder",79,80,82,77,..,77,60,58,60,56,57
" ","Jobsøgning",..,41,..,34,..,23,..,..,..,21,..
" ","Søge helbredsmæssig information",68,71,68,64,60,59,57,61,..,47,..
" ","Internetbank",91,91,92,86,85,86,82,77,75,70,64
" ","Salg af varer/tjenester",26,31,26,24,25,24,28,32,21,19,18
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,30,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,5,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,43,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,86,85,86,82,81,77,78,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",34,34,38,43,41,48,47,47,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,63,64,69,65,62,62,59,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",16,18,..,19,..,20,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",12,11,..,15,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",77,82,80,76,70,67,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,25,..,..,..,..,..
" ","Taget online kursus",12,24,17,10,..,7,..,..,..,..,..
" ","Brugt e-learning materiale",33,31,35,..,..,10,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",24,..,21,17,..,11,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",47,..,53,46,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",69,..,70,62,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",81,86,86,70,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",67,68,63,49,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,29,17,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",19,..,17,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,9,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",13,..,16,..,..,9,..,..,..,..,..
" ","Lytter til podcast uanset emne",44,..,39,..,..,..,..,..,..,..,..
"Indkomst: 200.000-299.999 kr."
" ","Sende/modtage e-mail",89,90,92,89,89,88,90,..,88,90,86
" ","Søge infomation om varer mv.",84,76,83,77,81,69,81,69,80,83,80
" ","Services ifm. rejser mv",..,..,..,..,..,47,56,56,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,37,..
" ","Læse/downloade nyheder",80,75,76,71,..,73,60,56,63,65,69
" ","Jobsøgning",..,26,..,28,..,20,..,..,..,21,..
" ","Søge helbredsmæssig information",66,64,66,59,61,58,60,59,..,54,..
" ","Internetbank",89,91,91,86,88,85,83,79,81,84,80
" ","Salg af varer/tjenester",29,27,27,25,28,23,29,32,23,23,20
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,36,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,4,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,43,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,86,82,85,85,83,79,82,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",39,37,37,44,45,46,49,49,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,60,61,67,66,61,63,64,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",19,23,..,19,..,22,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",11,10,..,13,..,11,..,..,..,..,..
" ","Brugt sociale netværkstjenester",76,78,78,74,71,63,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,18,..,..,..,..,..
" ","Taget online kursus",7,11,12,10,..,6,..,..,..,..,..
" ","Brugt e-learning materiale",24,22,26,..,..,9,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",12,..,14,9,..,6,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",44,..,52,47,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",65,..,62,60,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",80,81,81,69,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",62,57,56,46,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,24,16,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",17,..,13,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",8,..,12,..,..,5,..,..,..,..,..
" ","Lytter til podcast uanset emne",33,..,27,..,..,..,..,..,..,..,..
"Indkomst: 300.000 og derover"
" ","Sende/modtage e-mail",98,99,98,97,97,97,97,..,96,95,94
" ","Søge infomation om varer mv.",94,92,95,92,94,89,93,86,92,89,90
" ","Services ifm. rejser mv",..,..,..,..,..,73,79,79,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,52,..
" ","Læse/downloade nyheder",91,92,90,89,..,90,79,75,82,81,83
" ","Jobsøgning",..,37,..,39,..,20,..,..,..,18,..
" ","Søge helbredsmæssig information",72,82,75,72,70,68,69,70,..,60,..
" ","Internetbank",97,98,97,95,95,95,95,92,92,91,90
" ","Salg af varer/tjenester",36,39,37,33,35,35,42,42,30,26,31
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,39,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,7,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,61,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,95,94,95,95,94,93,92,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",44,44,45,54,53,62,64,61,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,77,73,82,81,82,82,79,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",18,20,..,20,..,25,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,13,..,15,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",88,87,87,82,81,79,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,40,..,..,..,..,..
" ","Taget online kursus",19,25,18,14,..,10,..,..,..,..,..
" ","Brugt e-learning materiale",36,35,37,..,..,16,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",20,..,18,10,..,10,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",49,..,61,53,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",81,..,77,74,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",89,90,88,80,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",74,75,71,58,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,41,28,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",16,..,18,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",11,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",6,..,10,..,..,6,..,..,..,..,..
" ","Lytter til podcast uanset emne",45,..,39,..,..,..,..,..,..,..,..

