"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",45,41,42,50,50,51,50,50,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,60,59,64,64,59,59,57,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",14,16,..,14,..,14,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",9,7,..,10,..,7,..,..,..,..,..
" ","Brugt sociale netværkstjenester",65,66,63,57,52,44,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,9,..,..,..,..,..
" ","Taget online kursus",6,7,5,4,..,3,..,..,..,..,..
" ","Brugt e-learning materiale",14,17,14,..,..,4,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",7,..,3,2,..,3,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",30,..,41,31,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",47,..,42,36,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",70,72,71,47,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",49,50,43,33,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,23,13,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",10,..,9,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,6,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",1,..,6,..,..,2,..,..,..,..,..
" ","Lytter til podcast uanset emne",21,..,15,..,..,..,..,..,..,..,..
"Køn: Kvinder"
" ","Sende/modtage e-mail",95,96,96,94,94,94,95,..,89,88,86
" ","Søge infomation om varer mv.",91,85,89,83,88,77,86,75,85,82,80
" ","Services ifm. rejser mv",..,..,..,..,..,59,66,66,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,36,..
" ","Læse/downloade nyheder",86,85,85,80,..,82,67,63,74,66,69
" ","Jobsøgning",..,36,..,37,..,24,..,..,..,22,..
" ","Søge helbredsmæssig information",77,81,78,74,72,72,73,71,..,61,..
" ","Internetbank",95,96,94,91,90,90,89,85,84,81,78
" ","Salg af varer/tjenester",33,35,31,25,28,27,33,34,27,20,20
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,41,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,5,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,54,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,92,89,90,90,88,86,86,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",39,36,37,45,43,51,52,51,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,67,68,75,72,72,72,68,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",16,20,..,18,..,23,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,13,..,15,..,13,..,..,..,..,..
" ","Brugt sociale netværkstjenester",88,88,88,84,81,78,..,..,..,..,..
