Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Alder: 40-59 år;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;51;..
Alder: 40-59 år;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Alder: 40-59 år;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;93;92;92;91;91;88;89;..;..;..
Alder: 40-59 år;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;44;42;44;53;52;59;60;58;..;..;..
Alder: 40-59 år;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;72;69;79;74;76;74;72;..;..;..
Alder: 40-59 år;Delt/udtrykt egne holdinger på nettet;21;22;..;22;..;26;..;..;..;..;..
Alder: 40-59 år;Deltaget i online høringer/afstemninger;13;13;..;15;..;13;..;..;..;..;..
Alder: 40-59 år;Brugt sociale netværkstjenester;87;86;86;80;80;76;..;..;..;..;..
Alder: 40-59 år;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;35;..;..;..;..;..
Alder: 40-59 år;Taget online kursus;16;23;17;12;..;9;..;..;..;..;..
Alder: 40-59 år;Brugt e-learning materiale;35;33;34;..;..;13;..;..;..;..;..
Alder: 40-59 år;Kommunikeret med underviser/elev på websider/portaler;21;..;17;10;..;8;..;..;..;..;..
Alder: 40-59 år;Delt egne billeder, tekst, videoer, musik eller software;51;..;60;52;..;..;..;..;..;..;..
Alder: 40-59 år;Lyttet til musik via webradio eller streamingstjeneste;79;..;75;70;..;..;..;..;..;..;..
Alder: 40-59 år;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;89;89;88;78;..;..;..;..;..;..;..
Alder: 40-59 år;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;72;70;68;55;..;..;..;..;..;..;..
Alder: 40-59 år;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;39;24;..;..;..;..;..;..;..
Alder: 40-59 år;Brug af apps til at mindske madspild;17;..;18;..;..;..;..;..;..;..;..
Alder: 40-59 år;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;10;..;9;..;..;..;..;..;..;..;..
Alder: 40-59 år;Brug af dating apps eller hjemmesider;6;..;10;..;..;6;..;..;..;..;..
Alder: 40-59 år;Lytter til podcast uanset emne;41;..;35;..;..;..;..;..;..;..;..
Alder: 60-74 år;Sende/modtage e-mail;88;91;91;87;87;85;85;..;79;74;66
Alder: 60-74 år;Søge infomation om varer mv.;82;76;82;73;76;63;74;62;69;63;60
Alder: 60-74 år;Services ifm. rejser mv;..;..;..;..;..;47;56;54;..;..;..
Alder: 60-74 år;Downloade software;..;..;..;..;..;..;..;..;..;26;..
Alder: 60-74 år;Læse/downloade nyheder;78;77;75;70;..;72;59;55;60;53;55
